> ORF 1247	yciX	Clockwise,0.163768
> ORF 1523	quuQ	Counterclockwise,0.0925419
> ORF 265	yagI	Counterclockwise,0.323571
> ORF 383	phoB	Clockwise,0.557741
> ORF 876	focA	Counterclockwise,0.197475
> ORF 486	allA	Clockwise,0.733017
> ORF 536	ybcV	Counterclockwise,0.0993928
> ORF 266	argF	Counterclockwise,0.24303
> ORF 3530	yibT	Counterclockwise,-0.0838532
> ORF 534	rzoD	Clockwise,0.34438
> ORF 970	torR	Counterclockwise,0.189169
> ORF 269	yagK	Counterclockwise,0.0823486
> ORF 818	rybB	Counterclockwise,0.513094
> ORF 564	ybdZ	Clockwise,0.377698
> ORF 3066	kbaY	Clockwise,0.707096
> ORF 270	yagL	Counterclockwise,0.0794598
> ORF 271	yagM	Counterclockwise,-0.0301669
> ORF 272	yagN	Counterclockwise,-0.0385001
> ORF 284	matB	Counterclockwise,0.320064
> ORF 1859	motA	Counterclockwise,0.289561
> ORF 2921	yghR	Counterclockwise,0.191251
> ORF 285	matA	Counterclockwise,0.0415235
> ORF 720	lysQ	Clockwise,0.100631
> ORF 1278	pspA	Clockwise,0.873175
> ORF 288	ykgM	Counterclockwise,0.0250308
> ORF 315	yahK	Clockwise,0.532032
> ORF 289	ykgR	Counterclockwise,0.314543
> ORF 2144	yejK	Counterclockwise,0.376553
> ORF 338	mhpC	Clockwise,0.7971
> ORF 347	yaiO	Counterclockwise,0.289545
> ORF 2572	grpE	Counterclockwise,0.255874
> ORF 290	insE	Clockwise,0.589464
> ORF 1326	racC	Counterclockwise,0.255827
> ORF 574	entB	Clockwise,0.798644
> ORF 2592	yfjR	Clockwise,0.565351
> ORF 460	aes	Counterclockwise,0.153556
> ORF 292	insF	Clockwise,0.281896
> ORF 294	ykgB	Counterclockwise,-0.0294744
> ORF 295	ykgI	Counterclockwise,-0.0763529
> ORF 2541	trxC	Clockwise,0.59539
> ORF 2573	nadK	Clockwise,0.565044
> ORF 3491	yiaA	Counterclockwise,-0.0611625
> ORF 298	ykgE	Clockwise,0.559
> ORF 3526	yibI	Counterclockwise,0.117206
> ORF 300	ykgG	Clockwise,0.623573
> ORF 4001	nrfD	Clockwise,0.803052
> ORF 304	betI	Counterclockwise,0.372637
> ORF 307	yahB	Counterclockwise,0.272658
> ORF 621	ybeQ	Counterclockwise,0.0377535
> ORF 2795	yqeH	Clockwise,0.204561
> ORF 308	yahC	Counterclockwise,0.12044
> ORF 309	yahD	Clockwise,0.659243
> ORF 1434	narW	Counterclockwise,0.188259
> ORF 1846	yecT	Clockwise,0.330114
> ORF 2808	xdhB	Clockwise,0.621073
> ORF 846	ybjE	Counterclockwise,0.198434
> ORF 946	hyaC	Clockwise,0.642517
> ORF 316	yahL	Clockwise,0.434349
> ORF 606	ybeF	Counterclockwise,0.0887149
> ORF 1214	oppC	Clockwise,0.564371
> ORF 917	pyrD	Clockwise,0.666219
> ORF 408	yajL	Counterclockwise,0.327458
> ORF 835	artI	Counterclockwise,0.223076
> ORF 1632	ydhU	Counterclockwise,0.070124
> ORF 1401	ydcL	Clockwise,0.525081
> ORF 318	yahN	Counterclockwise,0.00586968
> ORF 901	ompF	Counterclockwise,0.247747
> ORF 2980	yqiJ	Clockwise,0.44545
> ORF 705	ybgT	Clockwise,0.89013
> ORF 319	yahO	Clockwise,0.576312
> ORF 3052	yhaB	Clockwise,0.282022
> ORF 321	prpB	Clockwise,0.859931
> ORF 2032	yegL	Counterclockwise,0.267087
> ORF 2379	ucpA	Counterclockwise,0.312667
> ORF 327	cynR	Counterclockwise,0.140071
> ORF 328	cynT	Clockwise,0.542107
> ORF 2770	ppdC	Counterclockwise,0.219378
> ORF 1004	ycdX	Clockwise,0.542558
> ORF 329	cynS	Clockwise,0.800217
> ORF 331	lacA	Counterclockwise,0.06411
> ORF 3605	yidF	Counterclockwise,0.271453
> ORF 523	ylcH	Clockwise,-0.0706875
> ORF 337	mhpB	Clockwise,0.734462
> ORF 339	mhpD	Clockwise,0.684809
> ORF 1894	fliS	Clockwise,0.444947
> ORF 1362	paaD	Clockwise,0.515945
> ORF 3360	yhgN	Clockwise,0.709275
> ORF 610	rlpA	Counterclockwise,0.14342
> ORF 2212	arnD	Clockwise,0.632575
> ORF 2568	rpsP	Counterclockwise,0.223118
> ORF 1620	purR	Clockwise,0.721349
> ORF 3097	truB	Counterclockwise,0.187204
> ORF 983	rutE	Counterclockwise,0.372143
> ORF 341	mhpE	Clockwise,0.678662
> ORF 2043	yegP	Clockwise,0.563285
> ORF 344	frmB	Counterclockwise,0.117273
> ORF 348	insC	Clockwise,0.414168
> ORF 1203	purU	Counterclockwise,0.204917
> ORF 3809	yihV	Clockwise,0.591216
> ORF 759	ybhN	Counterclockwise,0.242831
> ORF 1970	yeeD	Counterclockwise,0.346809
> ORF 1498	mgrR	Counterclockwise,0.06963
> ORF 3086	yhbT	Counterclockwise,0.298912
> ORF 350	insD	Clockwise,0.309293
> ORF 354	tauA	Clockwise,0.746808
> ORF 589	rnk	Counterclockwise,0.272753
> ORF 3662	atpG	Counterclockwise,0.195584
> ORF 356	tauC	Clockwise,0.819073
> ORF 2231	yfbO	Clockwise,0.339166
> ORF 1114	cohE	Counterclockwise,0.0594865
> ORF 358	hemB	Counterclockwise,0.222129
> ORF 1094	potC	Counterclockwise,0.257947
> ORF 966	gnsA	Clockwise,0.730173
> ORF 748	bioC	Clockwise,0.632107
> ORF 965	ymcE	Clockwise,0.350215
> ORF 822	ybjC	Clockwise,0.521311
> ORF 365	yaiY	Counterclockwise,0.134416
> ORF 366	yaiZ	Clockwise,0.73332
> ORF 2652	gutQ	Clockwise,0.934805
> ORF 367	ddlA	Counterclockwise,0.415599
> ORF 473	ybbJ	Counterclockwise,0.279888
> ORF 2753	ygdD	Counterclockwise,0.403623
> ORF 1413	ydcV	Clockwise,0.660382
> ORF 368	iraP	Clockwise,0.52845
> ORF 370	psiF	Clockwise,0.611935
> ORF 1674	btuE	Counterclockwise,0.0842333
> ORF 3870	gldA	Counterclockwise,0.218539
> ORF 949	hyaF	Clockwise,0.569597
> ORF 372	proC	Counterclockwise,0.439085
> ORF 374	aroL	Clockwise,0.578436
> ORF 375	yaiA	Clockwise,0.369646
> ORF 4113	yjfI	Clockwise,0.610622
> ORF 376	aroM	Clockwise,0.465743
> ORF 3209	aroE	Counterclockwise,0.279218
> ORF 780	glnQ	Counterclockwise,0.427755
> ORF 3098	rbfA	Counterclockwise,0.234304
> ORF 377	yaiE	Clockwise,0.678504
> ORF 2398	yffN	Clockwise,0.190303
> ORF 1217	yciU	Counterclockwise,0.472771
> ORF 1509	tfaQ	Counterclockwise,0.208052
> ORF 388	acpH	Counterclockwise,0.179755
> ORF 1750	yeaK	Clockwise,0.661524
> ORF 389	queA	Clockwise,0.736954
> ORF 418	yajG	Counterclockwise,0.336226
> ORF 2587	yfjM	Counterclockwise,-0.0934531
> ORF 1451	ddpC	Counterclockwise,0.145259
> ORF 459	hemH	Clockwise,0.788976
> ORF 3250	gspB	Counterclockwise,0.273219
> ORF 391	yajC	Clockwise,0.779209
> ORF 395	tsx	Counterclockwise,0.150181
> ORF 1633	ydhX	Counterclockwise,0.165233
> ORF 396	yajI	Counterclockwise,0.186191
> ORF 686	abrB	Counterclockwise,0.229002
> ORF 1035	rimJ	Clockwise,0.558551
> ORF 3848	uspD	Clockwise,0.634964
> ORF 3252	gspC	Clockwise,0.260214
> ORF 569	fepD	Counterclockwise,0.302509
> ORF 397	nrdR	Clockwise,0.542488
> ORF 3178	yhdE	Counterclockwise,0.195273
> ORF 1288	ycjR	Clockwise,0.824564
> ORF 640	glnX	Counterclockwise,0.132168
> ORF 399	ribE	Clockwise,0.873758
> ORF 400	nusB	Clockwise,0.642321
> ORF 645	leuW	Counterclockwise,-0.419398
> ORF 1360	paaB	Clockwise,0.575105
> ORF 403	yajO	Counterclockwise,0.159473
> ORF 1964	cbtA	Clockwise,0.632845
> ORF 3159	sspB	Counterclockwise,0.149531
> ORF 3021	ygjR	Clockwise,0.659161
> ORF 405	ispA	Counterclockwise,0.270998
> ORF 3129	kdsC	Clockwise,0.790395
> ORF 656	fur	Counterclockwise,0.375744
> ORF 2557	pheL	Clockwise,0.0324733
> ORF 1793	kdgR	Counterclockwise,0.14853
> ORF 503	lpxH	Counterclockwise,0.40589
> ORF 1174	lolB	Counterclockwise,0.340345
> ORF 1070	ycfH	Clockwise,0.658822
> ORF 2996	ttdB	Clockwise,0.760722
> ORF 406	xseB	Counterclockwise,0.203674
> ORF 410	yajQ	Clockwise,0.78651
> ORF 1744	yeaE	Counterclockwise,0.172436
> ORF 2872	yggF	Counterclockwise,0.375657
> ORF 412	cyoE	Counterclockwise,0.39659
> ORF 413	cyoD	Counterclockwise,0.25392
> ORF 614	ybeB	Counterclockwise,0.336101
> ORF 2407	eutJ	Counterclockwise,0.169064
> ORF 416	cyoA	Counterclockwise,0.199804
> ORF 4244	fimH	Clockwise,0.435334
> ORF 933	yccF	Counterclockwise,0.0933709
> ORF 2499	yphA	Clockwise,0.678967
> ORF 3170	yhcO	Counterclockwise,0.211995
> ORF 419	bolA	Clockwise,0.51495
> ORF 426	ybaV	Clockwise,0.662153
> ORF 916	ycbF	Clockwise,0.449944
> ORF 714	lysT	Clockwise,0.100631
> ORF 2251	yfbU	Counterclockwise,0.326769
> ORF 2666	hycD	Counterclockwise,0.449888
> ORF 428	queC	Counterclockwise,0.263721
> ORF 430	cof	Clockwise,0.54873
> ORF 931	sxy	Clockwise,0.53112
> ORF 431	ybaO	Clockwise,0.732477
> ORF 4073	yjeI	Clockwise,0.425111
> ORF 775	ybiX	Counterclockwise,0.18841
> ORF 783	dps	Counterclockwise,0.357245
> ORF 2886	rsmE	Clockwise,0.730842
> ORF 434	glnK	Clockwise,0.968442
> ORF 2961	ygiN	Clockwise,0.546861
> ORF 3327	yrfG	Clockwise,0.865216
> ORF 1379	ynbB	Clockwise,0.45534
> ORF 436	tesB	Counterclockwise,0.203898
> ORF 439	ffs	Clockwise,0.00604894
> ORF 440	ybaA	Clockwise,0.516193
> ORF 1930	hchA	Clockwise,0.558088
> ORF 442	ylaC	Counterclockwise,0.46249
> ORF 2308	yfdK	Counterclockwise,0.20038
> ORF 443	maa	Counterclockwise,0.316731
> ORF 2963	yqiA	Counterclockwise,0.259753
> ORF 3204	alaU	Counterclockwise,0.294405
> ORF 1363	paaE	Clockwise,0.663531
> ORF 448	acrR	Clockwise,0.465723
> ORF 1150	dsbB	Counterclockwise,0.0789422
> ORF 451	priC	Counterclockwise,0.273232
> ORF 1081	ycfQ	Counterclockwise,0.242719
> ORF 452	ybaN	Clockwise,0.962605
> ORF 852	cspD	Counterclockwise,0.43566
> ORF 453	apt	Clockwise,0.888872
> ORF 2590	yfjP	Clockwise,0.550375
> ORF 555	ybdF	Counterclockwise,0.237186
> ORF 688	ybgP	Counterclockwise,0.105794
> ORF 2643	recA	Counterclockwise,0.3423
> ORF 1291	ycjU	Clockwise,0.704281
> ORF 455	ybaB	Clockwise,0.663929
> ORF 4107	hflC	Clockwise,0.75273
> ORF 2384	yfeX	Counterclockwise,0.432886
> ORF 458	adk	Clockwise,0.891258
> ORF 466	chiX	Clockwise,0.582669
> ORF 1734	ydjG	Counterclockwise,0.047547
> ORF 467	ybaP	Counterclockwise,0.334624
> ORF 1621	ydhB	Counterclockwise,0.22328
> ORF 2370	crr	Clockwise,0.703733
> ORF 468	ybaQ	Clockwise,0.482928
> ORF 489	hyi	Clockwise,0.680958
> ORF 1223	yciA	Counterclockwise,-0.095646
> ORF 470	ybaS	Clockwise,0.561586
> ORF 1432	yddE	Counterclockwise,0.262027
> ORF 1272	puuD	Clockwise,0.484964
> ORF 2888	yqgE	Clockwise,0.766812
> ORF 3805	yihR	Counterclockwise,0.268569
> ORF 472	cueR	Clockwise,0.768138
> ORF 2647	srlE	Clockwise,0.759997
> ORF 475	ybbL	Clockwise,0.559698
> ORF 476	ybbM	Clockwise,0.650629
> ORF 477	ybbN	Counterclockwise,0.55874
> ORF 556	ybdJ	Counterclockwise,0.294623
> ORF 2644	ygaD	Counterclockwise,0.346628
> ORF 4021	phnP	Counterclockwise,0.374007
> ORF 1411	ydcT	Clockwise,0.614271
> ORF 2387	ypeA	Counterclockwise,0.200321
> ORF 3969	lexA	Clockwise,0.815679
> ORF 1145	ycgM	Clockwise,0.726205
> ORF 497	allD	Counterclockwise,0.246553
> ORF 4174	pyrB	Counterclockwise,0.391383
> ORF 479	tesA	Counterclockwise,0.400292
> ORF 1596	gstA	Clockwise,0.636319
> ORF 480	ybbA	Clockwise,0.646928
> ORF 508	folD	Counterclockwise,0.260535
> ORF 1269	ymjA	Counterclockwise,0.38037
> ORF 2451	hda	Counterclockwise,0.173011
> ORF 483	ybbC	Clockwise,0.260227
> ORF 2313	yfdS	Clockwise,0.446135
> ORF 935	mgsA	Counterclockwise,0.189225
> ORF 2974	ygiL	Clockwise,0.391286
> ORF 4250	iraD	Clockwise,0.479567
> ORF 2843	ygfF	Counterclockwise,0.328047
> ORF 490	glxR	Clockwise,0.779897
> ORF 2781	tas	Clockwise,0.688477
> ORF 2294	yfcV	Counterclockwise,0.341745
> ORF 1307	fnr	Counterclockwise,0.482151
> ORF 500	ybcF	Clockwise,0.75141
> ORF 502	purE	Counterclockwise,0.488523
> ORF 3201	thrV	Counterclockwise,-0.0804587
> ORF 504	ppiB	Counterclockwise,0.232361
> ORF 1113	ymfJ	Counterclockwise,0.0421051
> ORF 2662	hycH	Counterclockwise,0.367663
> ORF 681	ybgI	Clockwise,0.797419
> ORF 2603	ileY	Counterclockwise,0.0961819
> ORF 2957	qseB	Clockwise,0.832181
> ORF 507	ybcJ	Counterclockwise,0.380042
> ORF 1136	ymgG	Counterclockwise,0.295093
> ORF 661	seqA	Clockwise,0.549081
> ORF 2751	fucR	Clockwise,0.566663
> ORF 2993	plsY	Clockwise,0.622121
> ORF 2841	yqfB	Counterclockwise,0.475347
> ORF 510	sfmC	Clockwise,0.39961
> ORF 538	ylcI	Counterclockwise,-0.0742405
> ORF 512	sfmH	Clockwise,0.422447
> ORF 1335	ydaU	Clockwise,0.30027
> ORF 513	sfmF	Clockwise,0.388671
> ORF 3088	yhbV	Clockwise,0.717198
> ORF 1491	marC	Counterclockwise,0.14409
> ORF 514	fimZ	Counterclockwise,0.18125
> ORF 3913	yjaZ	Clockwise,0.430989
> ORF 2283	yfcM	Counterclockwise,0.153029
> ORF 515	argU	Clockwise,-0.225008
> ORF 853	clpS	Clockwise,0.398034
> ORF 4103	miaA	Clockwise,0.540206
> ORF 521	ybcL	Clockwise,0.252566
> ORF 706	ybgE	Clockwise,0.519757
> ORF 522	ybcM	Clockwise,0.187996
> ORF 1932	yedW	Counterclockwise,0.0458399
> ORF 669	kdpC	Counterclockwise,0.199701
> ORF 524	ybcN	Clockwise,0.522341
> ORF 526	ybcO	Clockwise,0.487135
> ORF 4212	fecR	Counterclockwise,0.544939
> ORF 527	rusA	Clockwise,0.579368
> ORF 528	ylcG	Clockwise,0.654452
> ORF 531	essD	Clockwise,0.253227
> ORF 2100	cdd	Clockwise,0.682787
> ORF 532	rrrD	Clockwise,0.45055
> ORF 1916	rcsA	Clockwise,0.366338
> ORF 3986	ssb	Clockwise,0.664385
> ORF 717	valZ	Clockwise,0.280767
> ORF 4095	glyX	Clockwise,-0.248384
> ORF 535	borD	Counterclockwise,-0.0368264
> ORF 3413	yhiI	Counterclockwise,0.435755
> ORF 539	nohD	Clockwise,0.596543
> ORF 1789	yobF	Counterclockwise,0.0892173
> ORF 540	appY	Clockwise,0.18615
> ORF 3833	rhaT	Counterclockwise,0.187442
> ORF 541	ompT	Counterclockwise,0.0609559
> ORF 1241	yciK	Counterclockwise,0.310638
> ORF 542	envY	Counterclockwise,0.134243
> ORF 1627	valV	Clockwise,-0.474401
> ORF 3258	gspI	Clockwise,0.558552
> ORF 549	cusF	Clockwise,0.661047
> ORF 1787	rlmA	Counterclockwise,0.174107
> ORF 554	nfsB	Counterclockwise,0.41845
> ORF 558	sokE	Clockwise,-0.448182
> ORF 561	entD	Counterclockwise,0.0372387
> ORF 3855	menA	Counterclockwise,0.208941
> ORF 607	lipB	Counterclockwise,0.0588287
> ORF 1228	yciF	Counterclockwise,0.188668
> ORF 3707	trxA	Clockwise,0.867556
> ORF 567	fepC	Counterclockwise,0.201079
> ORF 571	fepB	Counterclockwise,0.286536
> ORF 1782	manX	Clockwise,0.655258
> ORF 2064	thiM	Counterclockwise,0.229367
> ORF 575	entA	Clockwise,0.785892
> ORF 1578	uidR	Counterclockwise,0.336881
> ORF 732	modE	Counterclockwise,0.228262
> ORF 952	yccB	Clockwise,0.577741
> ORF 1682	infC	Counterclockwise,0.384881
> ORF 576	entH	Clockwise,0.641857
> ORF 4273	yjiX	Counterclockwise,0.326141
> ORF 3262	gspM	Clockwise,0.49106
> ORF 579	ybdH	Counterclockwise,0.339052
> ORF 3698	ilvE	Clockwise,0.78931
> ORF 1187	chaA	Counterclockwise,0.175346
> ORF 2306	gtrB	Clockwise,0.38881
> ORF 1636	ydhY	Counterclockwise,-0.0703137
> ORF 1678	pheS	Counterclockwise,0.33642
> ORF 583	ybdO	Counterclockwise,0.0406789
> ORF 584	dsbG	Counterclockwise,0.124715
> ORF 1637	ydhZ	Counterclockwise,0.334209
> ORF 1902	fliE	Counterclockwise,0.466931
> ORF 585	ahpC	Clockwise,0.712423
> ORF 844	hcr	Counterclockwise,0.265223
> ORF 3275	fkpA	Counterclockwise,0.131784
> ORF 587	uspG	Counterclockwise,0.172976
> ORF 1690	yniC	Clockwise,0.512585
> ORF 2671	hypB	Clockwise,0.683224
> ORF 3131	lptA	Clockwise,0.665977
> ORF 1834	nudB	Counterclockwise,0.293521
> ORF 592	citG	Counterclockwise,0.293283
> ORF 593	citX	Counterclockwise,0.117931
> ORF 2274	dedA	Counterclockwise,0.36852
> ORF 1239	rluB	Clockwise,0.693487
> ORF 1804	pphA	Counterclockwise,0.286777
> ORF 1222	tonB	Clockwise,0.595163
> ORF 752	moaA	Clockwise,0.606777
> ORF 3793	yshB	Counterclockwise,0.128746
> ORF 595	citE	Counterclockwise,0.455456
> ORF 1492	marR	Clockwise,0.707013
> ORF 596	citD	Counterclockwise,0.410152
> ORF 3080	yraQ	Counterclockwise,0.086154
> ORF 1367	paaI	Clockwise,0.704157
> ORF 2910	pppA	Counterclockwise,0.178529
> ORF 713	ybgF	Clockwise,0.549272
> ORF 3710	wzzE	Clockwise,0.667878
> ORF 1501	ydeJ	Clockwise,0.484838
> ORF 599	dpiA	Clockwise,0.663164
> ORF 1830	yobI	Counterclockwise,-0.262337
> ORF 601	pagP	Clockwise,0.557539
> ORF 771	ybiB	Clockwise,0.777834
> ORF 3762	tatA	Clockwise,0.640645
> ORF 604	tatE	Clockwise,0.754508
> ORF 817	ybjK	Clockwise,0.536974
> ORF 608	ybeD	Counterclockwise,0.125266
> ORF 936	yccT	Counterclockwise,0.232252
> ORF 615	cobC	Counterclockwise,0.259314
> ORF 617	holA	Counterclockwise,0.302043
> ORF 3378	ugpA	Counterclockwise,0.376458
> ORF 1185	ldrC	Counterclockwise,0.305362
> ORF 4214	insA	Clockwise,0.621201
> ORF 618	lptE	Counterclockwise,0.137071
> ORF 620	ybeL	Clockwise,0.63802
> ORF 622	ybeR	Clockwise,0.410217
> ORF 2516	tadA	Counterclockwise,0.320871
> ORF 625	ybeU	Clockwise,0.475348
> ORF 629	gltL	Counterclockwise,0.218922
> ORF 630	gltK	Counterclockwise,0.163365
> ORF 632	gltI	Counterclockwise,0.294528
> ORF 1963	yeeU	Clockwise,0.466695
> ORF 1351	ldhA	Counterclockwise,0.279615
> ORF 1164	dhaL	Counterclockwise,0.33978
> ORF 2030	yegJ	Clockwise,0.515968
> ORF 2066	rcnA	Clockwise,0.618059
> ORF 4035	yjdM	Counterclockwise,0.0952588
> ORF 1511	ynfO	Clockwise,0.433569
> ORF 4208	fecD	Counterclockwise,0.218515
> ORF 2034	ibsA	Counterclockwise,0.474076
> ORF 636	ybeY	Counterclockwise,0.287954
> ORF 637	ybeZ	Counterclockwise,0.30953
> ORF 782	glnH	Counterclockwise,0.215865
> ORF 4226	sgcQ	Counterclockwise,0.22887
> ORF 641	glnV	Counterclockwise,0.132168
> ORF 4236	fimB	Clockwise,0.317536
> ORF 4027	phnJ	Counterclockwise,0.333479
> ORF 642	metU	Counterclockwise,-0.509612
> ORF 657	uof	Counterclockwise,-0.180714
> ORF 3009	ebgR	Clockwise,0.725543
> ORF 646	metT	Counterclockwise,-0.509612
> ORF 648	nagD	Counterclockwise,0.241498
> ORF 740	ybhH	Clockwise,0.539162
> ORF 2594	yfjS	Clockwise,0.579832
> ORF 651	nagB	Counterclockwise,0.199885
> ORF 655	chiQ	Clockwise,0.684246
> ORF 1439	yddG	Counterclockwise,0.10988
> ORF 660	ybfF	Counterclockwise,0.255738
> ORF 663	ybfP	Clockwise,0.249007
> ORF 2089	osmF	Counterclockwise,0.201249
> ORF 1447	bdm	Counterclockwise,0.261436
> ORF 3814	yiiD	Clockwise,0.646281
> ORF 3683	rbsR	Clockwise,0.653134
> ORF 1282	pspE	Clockwise,0.667553
> ORF 675	ybfB	Clockwise,-0.0697891
> ORF 676	ybfC	Clockwise,0.244336
> ORF 1330	ydaF	Counterclockwise,0.229959
> ORF 3132	lptB	Clockwise,0.669139
> ORF 2093	yohC	Counterclockwise,0.200828
> ORF 3653	phoU	Counterclockwise,0.414612
> ORF 707	ybgC	Clockwise,0.340868
> ORF 677	ybfD	Clockwise,0.520915
> ORF 2453	upp	Counterclockwise,0.39085
> ORF 682	ybgJ	Clockwise,0.630515
> ORF 2928	hybF	Counterclockwise,0.411753
> ORF 2977	yqiH	Clockwise,0.38542
> ORF 2133	spr	Clockwise,0.411652
> ORF 685	nei	Clockwise,0.628061
> ORF 693	sdhD	Clockwise,0.647606
> ORF 868	dmsC	Clockwise,0.676288
> ORF 699	sucD	Clockwise,0.808877
> ORF 1500	ydeI	Counterclockwise,0.242871
> ORF 1997	rfbC	Counterclockwise,0.0154138
> ORF 1159	ycgR	Counterclockwise,0.232101
> ORF 700	mngR	Counterclockwise,0.261204
> ORF 3939	metA	Clockwise,0.606535
> ORF 2576	ratB	Counterclockwise,0.0319718
> ORF 708	tolQ	Clockwise,0.683863
> ORF 1592	rsxG	Clockwise,0.670155
> ORF 1130	ymgA	Clockwise,0.235807
> ORF 1671	cdgR	Counterclockwise,0.247872
> ORF 1083	ycfS	Counterclockwise,0.275696
> ORF 712	pal	Clockwise,0.587335
> ORF 2661	hycI	Counterclockwise,0.284283
> ORF 1418	ydcZ	Counterclockwise,0.306207
> ORF 715	valT	Clockwise,0.280767
> ORF 978	yccJ	Counterclockwise,0.529424
> ORF 1713	ydjX	Clockwise,0.674852
> ORF 716	lysW	Clockwise,0.100631
> ORF 718	lysY	Clockwise,0.100631
> ORF 719	lysZ	Clockwise,0.100631
> ORF 3334	greB	Clockwise,0.785569
> ORF 2459	yfgG	Clockwise,0.423354
> ORF 1014	ymdA	Clockwise,0.545094
> ORF 722	pnuC	Clockwise,0.616885
> ORF 1165	dhaK	Counterclockwise,0.181935
> ORF 1126	ycgX	Counterclockwise,-0.0321732
> ORF 723	zitB	Counterclockwise,0.264065
> ORF 3045	tdcF	Counterclockwise,0.388337
> ORF 1039	flgN	Counterclockwise,0.429578
> ORF 724	ybgS	Counterclockwise,0.376981
> ORF 725	aroG	Clockwise,0.72231
> ORF 1109	lit	Clockwise,0.177275
> ORF 726	gpmA	Counterclockwise,0.215548
> ORF 1026	yceJ	Counterclockwise,0.0940622
> ORF 729	galT	Counterclockwise,0.269018
> ORF 1494	marB	Clockwise,0.0989637
> ORF 1323	ralR	Counterclockwise,0.0212901
> ORF 733	ybhT	Clockwise,0.413502
> ORF 3822	yiiG	Clockwise,0.575647
> ORF 867	dmsB	Clockwise,0.623959
> ORF 2117	yeiI	Clockwise,0.572162
> ORF 2291	yfcQ	Counterclockwise,0.130406
> ORF 737	ybhA	Counterclockwise,0.283815
> ORF 1538	ydfD	Clockwise,0.223836
> ORF 739	ybhD	Counterclockwise,0.127427
> ORF 744	ybhB	Counterclockwise,0.162532
> ORF 3193	envR	Counterclockwise,0.21617
> ORF 1387	rydC	Counterclockwise,0.253833
> ORF 746	bioB	Clockwise,0.71998
> ORF 1885	sdiA	Counterclockwise,0.174696
> ORF 756	moaE	Clockwise,0.856039
> ORF 1361	paaC	Clockwise,0.687711
> ORF 749	bioD	Clockwise,0.536595
> ORF 1689	yniB	Counterclockwise,0.142183
> ORF 3652	bglG	Counterclockwise,0.177224
> ORF 1009	csgE	Counterclockwise,0.293957
> ORF 753	moaB	Clockwise,0.612628
> ORF 4243	fimG	Clockwise,0.272879
> ORF 754	moaC	Clockwise,0.876467
> ORF 761	ybhP	Counterclockwise,0.294947
> ORF 762	ybhQ	Clockwise,0.69264
> ORF 1488	yneJ	Clockwise,0.603498
> ORF 2334	ypdB	Clockwise,0.665357
> ORF 2688	surE	Counterclockwise,0.140294
> ORF 766	ybhG	Counterclockwise,0.283314
> ORF 2826	ygfS	Counterclockwise,0.152678
> ORF 3590	yicS	Clockwise,0.432199
> ORF 772	ybiC	Clockwise,0.665131
> ORF 773	ybiJ	Counterclockwise,0.218049
> ORF 2616	ygaC	Counterclockwise,-0.0190337
> ORF 774	ybiI	Counterclockwise,0.0880494
> ORF 1339	ynaK	Clockwise,0.616345
> ORF 4108	yjeT	Clockwise,0.711344
> ORF 1306	uspE	Counterclockwise,0.194365
> ORF 778	rlmF	Clockwise,0.652346
> ORF 2637	argY	Counterclockwise,-0.878576
> ORF 3899	coaA	Counterclockwise,0.103335
> ORF 781	glnP	Counterclockwise,0.258645
> ORF 784	rhtA	Counterclockwise,0.0236855
> ORF 785	ompX	Clockwise,0.548428
> ORF 2047	yegR	Counterclockwise,0.00229031
> ORF 2968	ygiB	Clockwise,0.481699
> ORF 4084	frdB	Counterclockwise,0.256077
> ORF 787	mntS	Counterclockwise,-0.0492644
> ORF 3022	alx	Clockwise,0.863516
> ORF 788	mntR	Clockwise,0.718949
> ORF 1559	mdtI	Counterclockwise,0.326143
> ORF 2485	iscU	Counterclockwise,0.233886
> ORF 790	ybiS	Counterclockwise,0.204751
> ORF 2428	ypfH	Counterclockwise,0.192663
> ORF 793	ybiV	Counterclockwise,0.273312
> ORF 796	fsaA	Clockwise,0.812562
> ORF 1493	marA	Clockwise,0.428206
> ORF 2368	ptsH	Clockwise,0.861852
> ORF 797	moeB	Counterclockwise,0.313761
> ORF 799	iaaA	Clockwise,0.617136
> ORF 802	gsiC	Clockwise,0.628892
> ORF 2389	hemF	Clockwise,0.669109
> ORF 881	ycaL	Clockwise,0.594807
> ORF 803	gsiD	Clockwise,0.707202
> ORF 4063	pheU	Counterclockwise,-0.191311
> ORF 807	bssR	Clockwise,0.50941
> ORF 2223	elaB	Counterclockwise,0.1703
> ORF 2900	trmI	Counterclockwise,0.142385
> ORF 811	deoR	Counterclockwise,0.369033
> ORF 1429	pptA	Clockwise,0.307584
> ORF 812	ybjG	Counterclockwise,0.135987
> ORF 2258	yfcF	Counterclockwise,0.0386227
> ORF 2481	fdx	Counterclockwise,0.0675788
> ORF 1003	ghrA	Clockwise,0.610287
> ORF 1140	minD	Counterclockwise,0.245023
> ORF 1593	rsxE	Clockwise,0.778089
> ORF 814	ybjH	Counterclockwise,-0.125908
> ORF 3433	hdeB	Counterclockwise,0.111238
> ORF 2642	recX	Counterclockwise,0.149073
> ORF 2892	yggT	Clockwise,0.798268
> ORF 815	ybjI	Counterclockwise,0.252704
> ORF 1721	ynjF	Counterclockwise,0.349505
> ORF 1299	mpaA	Counterclockwise,0.230188
> ORF 820	ybjM	Clockwise,0.375914
